O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,state_city,constituency_from_link
1,Anupama Rawat,Indian National Congress,3388,3951,3110,6039,6392,3402,3156,5848,4729,3614,4096,2057,Uttarakhand-Hardwar Rural,Hardwar Rural
2,Muhammad Yunus,Bahujan Samaj Party,127,158,221,262,472,520,201,824,692,855,149,47,Uttarakhand-Hardwar Rural,Hardwar Rural
3,Yatishwaranand,Bharatiya Janata Party,4915,4035,5196,3664,2222,3864,4980,2791,2976,3892,3058,3714,Uttarakhand-Hardwar Rural,Hardwar Rural
4,Aslam,Naki Bharatiya Ekta Party,27,41,48,12,23,25,13,18,34,33,24,19,Uttarakhand-Hardwar Rural,Hardwar Rural
5,Upender Singh Malik,Uttarakhand Kranti Dal,18,19,18,23,66,12,17,6,9,17,7,4,Uttarakhand-Hardwar Rural,Hardwar Rural
6,Zulfikar Ansari,All India Majlis-E-Ittehadul Muslimeen,11,11,14,44,60,18,3,17,7,11,19,8,Uttarakhand-Hardwar Rural,Hardwar Rural
7,Naresh Sharma,Aam Aadmi Party,163,85,173,178,155,187,207,116,193,449,583,405,Uttarakhand-Hardwar Rural,Hardwar Rural
8,Pankaj Kumar Saini,Aazad Samaj Party (Kanshi Ram),46,76,39,52,277,138,228,104,86,357,116,15,Uttarakhand-Hardwar Rural,Hardwar Rural
9,Rupesh Kumar,Nyaydharmsabha,18,29,26,6,4,17,10,5,10,16,15,13,Uttarakhand-Hardwar Rural,Hardwar Rural
10,Rekha Devi,Rashtrawadi Janlok Party (Satya),9,18,9,5,4,5,16,15,31,57,48,6,Uttarakhand-Hardwar Rural,Hardwar Rural
11,Sajid Ali,Samajwadi Party,24,19,24,11,11,19,11,5,11,14,9,9,Uttarakhand-Hardwar Rural,Hardwar Rural
12,Balram,Independent,53,44,62,8,40,45,119,16,36,54,27,27,Uttarakhand-Hardwar Rural,Hardwar Rural
13,Mubarak,Independent,20,32,21,6,13,20,9,15,13,16,8,4,Uttarakhand-Hardwar Rural,Hardwar Rural
14,NOTA,None of the Above,100,148,89,45,58,58,32,41,87,41,46,33,Uttarakhand-Hardwar Rural,Hardwar Rural
