O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,AMBIKA SINGH,Indian National Congress,82,94,81,104,72,160,90,121,60,78,123,104,137,102,87,77,174,100,101,139,186,80,94,119,107,100,159,61,101,85,172,121,21,1,20,Uttar Pradesh-Kaptanganj,Kaptanganj
2,KAVINDRA CHAUDHARY,Samajwadi Party,3710,3760,2733,3561,2612,2196,2220,2050,3082,2141,2809,2633,3606,2593,2735,2941,2877,2357,2435,2942,3098,3513,3275,3626,3431,2585,3088,2507,2332,2513,3082,2614,803,232,329,Uttar Pradesh-Kaptanganj,Kaptanganj
3,CHANDRA PRAKASH SHUKLA,Bharatiya Janata Party,1798,2319,1415,2017,3691,3066,1996,1951,1835,2531,2358,2133,1786,1044,907,1658,2688,2513,2009,2362,2677,2101,2506,2068,2386,2240,2041,2300,2574,1796,2191,2016,490,89,216,Uttar Pradesh-Kaptanganj,Kaptanganj
4,ZAHEER AHMAD,Bahujan Samaj Party,836,927,1011,1264,1087,629,906,1628,945,1057,1590,1543,1621,1797,1656,1354,1319,1089,1395,989,1536,1537,1125,1100,1365,1405,1671,1285,1055,1101,1196,701,282,54,53,Uttar Pradesh-Kaptanganj,Kaptanganj
5,OM PRAKASH,Atal Janshakti Party,25,36,23,26,23,26,18,28,31,37,35,27,23,23,20,35,33,23,31,18,28,26,25,32,33,24,27,17,25,34,33,23,10,2,2,Uttar Pradesh-Kaptanganj,Kaptanganj
6,LAXMAN,Log Party,17,14,10,16,3,10,9,13,14,6,17,13,12,14,8,14,12,9,10,7,89,18,12,18,7,7,14,6,10,7,13,8,5,2,0,Uttar Pradesh-Kaptanganj,Kaptanganj
7,SUNIL,Jan Adhikar Party,18,45,28,26,11,19,22,13,17,11,20,50,25,10,20,34,16,17,13,13,17,29,27,88,86,16,17,45,43,31,63,48,1,1,1,Uttar Pradesh-Kaptanganj,Kaptanganj
8,SANJAY KUMAR,Aam Aadmi Party,9,26,10,20,9,17,13,8,14,14,11,6,12,22,8,21,38,19,23,6,17,11,15,9,11,6,6,7,8,10,120,32,15,1,0,Uttar Pradesh-Kaptanganj,Kaptanganj
9,HRIDAYRAM,Bahujan Mukti Party,14,16,13,16,7,10,9,13,6,7,14,11,14,12,7,12,13,6,8,6,12,4,9,4,14,13,19,10,6,7,18,9,3,0,0,Uttar Pradesh-Kaptanganj,Kaptanganj
10,KAPIL DEV,Independent,12,19,8,20,12,18,14,23,14,17,20,14,6,19,8,25,20,18,22,12,16,13,9,10,19,12,11,19,5,12,14,10,4,1,1,Uttar Pradesh-Kaptanganj,Kaptanganj
11,DIGVIJAY SINGH,Independent,34,42,22,41,18,52,41,236,31,39,53,48,87,276,43,78,102,28,63,24,33,44,26,25,27,41,19,21,15,17,32,37,12,2,1,Uttar Pradesh-Kaptanganj,Kaptanganj
12,RAM JI,Independent,35,51,27,51,24,38,19,32,35,33,42,35,27,39,19,27,42,29,32,31,62,39,30,25,38,18,26,16,22,18,46,28,7,1,1,Uttar Pradesh-Kaptanganj,Kaptanganj
13,NOTA,None of the Above,39,47,36,46,29,45,32,30,42,44,57,25,45,35,31,46,55,25,39,34,47,28,37,29,32,29,37,34,33,36,49,34,12,1,0,Uttar Pradesh-Kaptanganj,Kaptanganj
