O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,AZIMUSHAN,Indian National Congress,31,58,32,24,38,93,49,22,53,54,31,50,30,30,46,49,65,65,89,135,34,22,40,33,38,48,47,34,53,55,51,33,4,4,19,Uttar Pradesh-Shahabad,Shahabad
2,AHIVRAN,Bahujan Samaj Party,1261,1415,499,721,349,213,479,766,2530,1510,1048,1721,1148,674,1081,1635,910,1672,1552,612,1056,572,1311,645,1152,1055,1946,1896,1606,1415,2144,514,21,197,4,Uttar Pradesh-Shahabad,Shahabad
3,MOHD ASIF KHAN,Samajwadi Party,1541,2725,3238,2014,2820,4886,4994,3387,1652,2397,2884,1765,1252,2677,1932,1632,3767,2379,2348,4664,1878,2354,2850,3027,3208,2661,2218,2745,2401,3174,2715,2049,557,297,364,Uttar Pradesh-Shahabad,Shahabad
4,RAJNI TIWARI,Bharatiya Janata Party,3579,3916,3506,3964,4668,1053,1846,2906,3161,2834,3062,3990,3235,3201,2748,3482,1747,2987,3537,2023,3559,3164,2805,2832,3076,3286,2857,1725,2272,2362,2687,1979,30,175,71,Uttar Pradesh-Shahabad,Shahabad
5,KAMAL KUMAR SHUKLA,Aam Aadmi Party,39,61,33,42,38,9,27,44,60,32,41,66,66,42,58,39,41,65,39,45,66,44,122,90,133,78,99,44,43,45,54,27,2,3,2,Uttar Pradesh-Shahabad,Shahabad
6,PARINITA SINGH,Jansatta Dal Loktantrik,7,6,7,9,4,6,1,14,10,9,10,13,8,16,37,22,5,8,5,6,11,19,10,11,17,16,14,4,13,11,8,7,1,2,0,Uttar Pradesh-Shahabad,Shahabad
7,RAM KISHOR,Jan Adhikar Party,19,12,5,16,3,0,2,4,11,10,15,26,93,34,43,5,6,15,10,11,12,8,15,14,14,14,21,17,15,7,11,10,0,0,0,Uttar Pradesh-Shahabad,Shahabad
8,RAHUL KUMAR,Manuvadi Party,14,22,5,18,9,7,16,12,31,18,17,30,29,17,28,23,16,16,24,20,24,18,23,21,41,32,34,14,18,25,34,21,1,3,1,Uttar Pradesh-Shahabad,Shahabad
9,AKHILESH PATHAK,Independent,91,92,65,59,103,27,24,50,72,97,139,126,432,238,120,64,102,82,321,118,829,208,186,106,113,104,92,57,52,69,70,46,0,12,6,Uttar Pradesh-Shahabad,Shahabad
10,NASREEN BANO,Independent,32,20,18,11,13,9,13,25,33,36,20,36,40,29,21,23,18,28,36,21,39,18,27,22,38,32,31,27,21,44,31,16,0,2,1,Uttar Pradesh-Shahabad,Shahabad
11,NAGENDRA SINGH,Independent,19,24,22,22,12,24,13,21,22,21,23,27,22,23,29,21,25,35,14,29,21,25,31,28,37,36,27,41,23,36,48,24,2,4,0,Uttar Pradesh-Shahabad,Shahabad
12,SAURABH,Independent,23,18,7,10,12,10,13,19,41,37,24,43,34,14,31,26,22,34,35,12,28,28,19,21,47,41,40,32,20,43,47,19,0,9,3,Uttar Pradesh-Shahabad,Shahabad
13,NOTA,None of the Above,63,49,42,29,38,26,25,28,83,66,43,83,58,46,51,36,51,65,52,46,46,39,44,50,56,56,64,44,36,92,80,58,3,10,6,Uttar Pradesh-Shahabad,Shahabad
