O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,Dr. Arvind Kishor Rai,Indian National Congress,22,59,44,25,63,60,67,74,53,55,51,36,60,77,68,42,73,66,48,62,55,52,73,61,77,121,39,58,63,235,206,97,89,68,43,Uttar Pradesh-Mohammadabad,Mohammadabad
2,ALKA RAI,Bharatiya Janata Party,1955,2286,1595,1817,2482,2233,2711,2924,2969,2600,3403,2274,3168,2923,2913,1506,2849,2740,2939,3040,3940,2883,2730,2214,3119,3159,1946,1875,2379,2289,3038,3486,3041,2725,1877,Uttar Pradesh-Mohammadabad,Mohammadabad
3,MADHVENDRA RAI,Bahujan Samaj Party,898,1519,1234,908,1238,890,1318,1394,927,177,540,938,895,658,872,742,872,605,509,1064,743,811,807,932,675,1161,970,986,1331,869,1045,930,812,834,1202,Uttar Pradesh-Mohammadabad,Mohammadabad
4,SUHAIB Alias MANNU ANSARI,Samajwadi Party,2934,3377,3400,3977,3003,3290,3527,3245,3674,4904,4373,3791,2699,2363,2135,5154,3379,3397,2800,2423,2185,3193,4005,3413,3021,2413,4422,3202,2576,2991,1820,1806,2743,2112,2936,Uttar Pradesh-Mohammadabad,Mohammadabad
5,MD. ISMAIL ANSARI,All India Minorities Front,12,32,26,34,25,32,37,39,36,16,18,26,18,22,19,32,30,27,23,23,14,27,31,26,21,20,40,30,19,22,21,27,22,24,15,Uttar Pradesh-Mohammadabad,Mohammadabad
6,MANOJ YADAV,Aam Aadmi Party,7,11,15,13,22,13,21,119,14,14,18,8,8,10,13,9,11,14,2,14,8,16,13,27,19,18,18,15,12,11,20,9,15,9,19,Uttar Pradesh-Mohammadabad,Mohammadabad
7,SANJAY SINGH KUSHWAHA,Jan Adhikar Party,89,346,303,67,98,74,17,63,55,15,31,41,16,63,79,49,17,170,15,26,10,173,18,182,4,45,67,28,75,28,16,87,58,22,60,Uttar Pradesh-Mohammadabad,Mohammadabad
8,AVADH BIHARI SINGH YADAV,Independent,11,15,18,8,12,15,20,15,20,10,8,13,8,15,17,13,17,12,4,15,10,22,15,20,12,12,9,13,16,12,17,15,13,12,22,Uttar Pradesh-Mohammadabad,Mohammadabad
9,KANHAIYA,Independent,6,21,11,20,13,17,16,36,8,6,12,5,23,20,18,12,18,15,10,23,24,12,15,28,21,20,17,21,22,9,18,19,7,20,15,Uttar Pradesh-Mohammadabad,Mohammadabad
10,RAMPYARI,Independent,7,24,9,8,13,22,12,20,11,4,11,11,17,13,21,9,13,19,6,18,25,22,25,20,21,18,15,11,13,10,31,25,19,10,22,Uttar Pradesh-Mohammadabad,Mohammadabad
11,NOTA,None of the Above,38,48,39,29,33,32,33,49,53,35,38,51,47,51,42,36,40,41,20,47,65,55,56,46,53,59,55,43,35,32,53,84,40,41,44,Uttar Pradesh-Mohammadabad,Mohammadabad
