O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,DHIRENDRA KUMAR BHARDWAJ,Bharatiya Janata Party,1305,2594,3304,2738,2733,3185,2193,2955,2474,2106,2525,2375,3262,2395,2010,1169,754,1115,758,510,878,664,1472,1586,537,3139,1874,1395,397,1473,2041,2690,3156,1219,1185,368,Uttar Pradesh-Sahaswan,Sahaswan
2,BRAJESH YADAV,Samajwadi Party,2457,1708,1282,1494,1136,1440,1130,2400,1197,2123,2386,1434,1581,2419,4243,4786,5389,3303,4525,4370,3036,4022,3750,2030,1960,1302,2240,1723,2057,1977,2953,1561,982,1680,1290,273,Uttar Pradesh-Sahaswan,Sahaswan
3,MUSARRAT ALI,Bahujan Samaj Party,3535,2056,1820,2223,1460,1895,2500,2151,1745,1847,1615,1977,1727,1146,966,678,476,1303,518,485,976,1548,1205,3091,4042,2429,3944,2803,4964,2599,1792,1192,1858,3463,1398,273,Uttar Pradesh-Sahaswan,Sahaswan
4,RAJVEER SINGH,Indian National Congress,31,18,25,26,25,38,31,156,22,23,20,31,22,12,25,18,22,35,31,16,24,35,33,29,23,24,38,29,55,37,41,32,25,40,31,3,Uttar Pradesh-Sahaswan,Sahaswan
5,ANIL KUMAR,Aam Aadmi Party,7,6,6,15,10,11,9,10,13,10,9,20,9,22,11,20,9,8,21,22,11,14,22,7,5,8,10,9,14,21,13,11,18,15,10,2,Uttar Pradesh-Sahaswan,Sahaswan
6,KUNAL SINGH,Rashtriya Parivartan Dal,41,54,389,730,638,572,168,567,563,439,728,379,385,636,561,1186,1117,1056,1188,1200,1186,1490,1209,402,357,659,471,769,417,702,844,653,837,633,753,75,Uttar Pradesh-Sahaswan,Sahaswan
7,NAVAB,Jan Seva Sahayak Party,8,4,12,16,14,13,15,12,10,20,15,11,18,8,13,27,23,10,22,15,14,32,21,10,4,12,15,10,22,26,26,15,29,24,22,3,Uttar Pradesh-Sahaswan,Sahaswan
8,PRAVESH KUMAR,Independent,17,7,15,21,12,20,31,20,30,20,16,18,28,20,18,19,37,17,22,23,24,27,37,27,21,21,30,39,65,41,25,39,28,38,36,5,Uttar Pradesh-Sahaswan,Sahaswan
9,RAVENDRA SARMA,Independent,23,16,38,30,19,32,27,31,36,22,30,20,26,17,19,15,12,20,13,23,20,28,20,42,30,30,44,28,43,41,33,24,28,61,25,1,Uttar Pradesh-Sahaswan,Sahaswan
10,RAKESH KUMAR SHARMA,Independent,11,5,22,19,17,25,27,32,24,22,18,18,20,18,26,39,60,33,58,28,38,29,29,23,9,16,24,25,21,17,31,30,23,15,18,5,Uttar Pradesh-Sahaswan,Sahaswan
11,NOTA,None of the Above,40,26,74,62,41,65,78,78,57,54,53,32,48,38,50,42,66,37,43,39,52,69,47,52,21,54,55,40,49,77,78,59,66,70,53,34,Uttar Pradesh-Sahaswan,Sahaswan
