O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,OM PRAKASH,Samajwadi Party,3674,4350,4005,3778,3696,2727,3237,4280,2632,3184,2580,2389,2560,2788,2370,2577,2674,2522,4054,2757,2318,1722,3294,2282,2589,1233,2681,3238,2934,3224,3874,1703,Uttar Pradesh-Zamania,Zamania
2,FARAJANA,Indian National Congress,49,44,47,36,31,50,66,50,55,42,34,25,42,62,33,38,38,55,33,35,64,79,24,35,20,31,39,29,35,29,41,35,Uttar Pradesh-Zamania,Zamania
3,MOHAMMAD YUSUFE ALI KHAN,Bahujan Samaj Party,924,897,1088,932,1574,1848,1832,1017,947,1358,1760,1077,1477,2507,2129,2480,2221,2921,1480,1336,3043,4723,2138,2680,1026,748,1126,862,1291,1190,1552,819,Uttar Pradesh-Zamania,Zamania
4,SUNITA SINGH,Bharatiya Janata Party,2418,2301,1965,1521,1383,2505,1584,2736,4103,3657,2509,2200,2791,2451,2439,2456,1858,1790,2356,2894,1684,1308,1521,1138,2982,3623,2549,2069,1794,1720,1578,1898,Uttar Pradesh-Zamania,Zamania
5,ISHWARI,Communist Party of India (Marxist-Leninist) (Liberation),31,27,37,50,40,95,31,22,91,67,27,41,123,59,39,26,61,25,19,15,27,20,13,16,29,29,24,14,31,104,27,40,Uttar Pradesh-Zamania,Zamania
6,RAVI PRAKASH,Aam Aadmi Party,36,25,19,9,12,17,12,17,17,7,7,9,16,5,12,8,16,14,18,39,64,7,4,9,13,4,7,5,13,2,10,16,Uttar Pradesh-Zamania,Zamania
7,RAMPRASAD,Bahujan Mukti Party,13,2,8,6,5,18,17,3,5,9,4,6,6,9,8,3,3,7,13,2,8,5,3,5,7,1,5,3,11,3,6,3,Uttar Pradesh-Zamania,Zamania
8,SAHATU,Jan Adhikar Party,253,43,244,169,160,490,252,25,86,76,43,10,268,83,286,113,226,391,97,24,410,33,38,14,8,28,33,123,811,76,212,125,Uttar Pradesh-Zamania,Zamania
9,SEEMA DEVI,Shiv Sena,15,5,7,5,11,30,12,11,16,19,16,27,21,19,15,9,12,18,4,4,11,9,3,8,8,4,11,6,9,9,13,9,Uttar Pradesh-Zamania,Zamania
10,AKHAND PRATAP,Independent,13,2,13,4,2,16,7,3,11,6,7,7,13,13,13,8,10,11,9,5,7,5,5,5,10,14,15,5,5,14,8,9,Uttar Pradesh-Zamania,Zamania
11,JANG BAHADUR,Independent,13,11,12,4,7,27,9,11,19,10,51,12,22,19,23,16,16,20,13,12,10,11,6,11,15,6,16,8,20,9,11,10,Uttar Pradesh-Zamania,Zamania
12,RAJENDRA PRASAD,Independent,18,11,13,9,7,18,17,13,25,20,19,21,34,27,12,18,16,13,19,6,9,18,10,16,28,9,19,20,14,17,15,17,Uttar Pradesh-Zamania,Zamania
13,RAMASHRAY,Independent,26,15,10,14,15,32,28,18,21,21,17,28,27,16,32,28,29,38,34,10,19,34,17,18,22,13,31,16,25,23,19,17,Uttar Pradesh-Zamania,Zamania
14,SARVDEO SINGH ALIAS DR. SARVDEO SINGH YOGACHARYA KALAM,Independent,18,13,18,18,14,15,22,17,13,21,23,21,14,16,26,20,15,14,18,11,17,16,15,19,23,6,20,17,12,16,17,11,Uttar Pradesh-Zamania,Zamania
15,NOTA,None of the Above,73,57,46,59,43,53,77,55,51,55,54,54,58,40,56,39,47,60,63,25,35,61,53,41,63,31,65,58,49,53,69,29,Uttar Pradesh-Zamania,Zamania
