O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,NARENDRA KUMAR URF MUNNA TRIPATHI,Bahujan Samaj Party,1433,820,1034,1083,1038,706,1008,1462,784,753,701,1558,849,1337,1627,1368,1749,849,309,964,1531,1010,860,836,819,908,519,1223,1777,1212,1205,340,18,9,11,Uttar Pradesh-Handia,Handia
2,REENA KUMARI BIND,Indian National Congress,50,28,63,34,36,36,36,36,30,113,43,40,51,48,43,51,43,32,38,79,29,41,27,37,32,48,46,49,59,76,41,13,8,2,2,Uttar Pradesh-Handia,Handia
3,HAKIM LAL BIND,Samajwadi Party,2653,2569,2989,2062,2661,2505,2821,2570,2594,3162,3796,2834,4071,3421,3157,2225,1806,2608,2335,2571,1911,2675,4112,2003,2014,3436,3418,2296,1459,2643,1556,415,42,180,249,Uttar Pradesh-Handia,Handia
4,AVANISH KUMAR,Akhil Bharatiya Socialist Party,67,22,28,22,44,34,21,27,28,35,37,28,36,35,42,31,26,42,21,32,18,36,62,24,18,39,59,27,21,36,19,5,0,2,3,Uttar Pradesh-Handia,Handia
5,GULAB CHANDRA,Jan Adhikar Party,126,319,375,116,92,271,85,157,177,265,227,238,76,77,182,187,44,20,14,25,22,147,328,367,15,78,63,31,29,96,39,4,1,47,0,Uttar Pradesh-Handia,Handia
6,PAWAN KUMAR TIWARI,Aam Aadmi Party,60,26,32,40,46,164,55,42,34,23,31,26,35,18,49,32,28,41,41,29,39,31,40,18,43,128,47,22,33,26,41,24,10,1,0,Uttar Pradesh-Handia,Handia
7,PRASHANT KUMAR SINGH RAHUL,Nirbal Indian Shoshit Hamara Aam Dal,3412,2500,2871,2089,2742,2021,2722,2142,2540,2335,2302,1864,1989,2597,2201,2596,2930,2666,2832,2614,3292,3182,2074,2257,2315,2322,3226,2564,2672,2494,2927,736,397,146,86,Uttar Pradesh-Handia,Handia
8,MADAN CHANDRA,Pragatisheel Manav Samaj Party,39,38,31,25,37,32,30,19,52,46,32,22,49,36,29,21,30,30,21,22,39,38,23,20,14,32,37,38,24,47,41,8,3,0,1,Uttar Pradesh-Handia,Handia
9,RAVI DHAR TRIPATHI,Independent,16,12,22,6,8,15,19,20,12,9,9,9,13,16,15,13,18,24,10,19,11,17,10,12,12,12,19,10,10,15,16,1,1,1,0,Uttar Pradesh-Handia,Handia
10,RAJ BAHADUR,Independent,49,33,30,39,27,21,39,38,28,37,43,30,35,29,41,38,34,26,23,30,30,36,19,22,27,45,51,27,40,34,39,8,3,0,1,Uttar Pradesh-Handia,Handia
11,LAL SAHAB,Independent,176,63,65,81,51,45,75,59,55,60,61,49,75,74,72,61,68,62,48,58,50,45,54,48,49,55,63,68,47,63,59,12,7,1,5,Uttar Pradesh-Handia,Handia
12,SHASHANK SHEKHAR SINGH,Independent,23,15,15,15,23,16,12,22,19,16,21,23,20,25,17,31,27,19,18,22,26,16,20,20,14,22,27,19,21,29,19,3,3,0,2,Uttar Pradesh-Handia,Handia
13,NOTA,None of the Above,72,54,72,55,59,44,61,73,42,48,52,65,69,85,85,75,99,56,56,57,66,66,67,48,45,37,65,52,62,84,67,16,4,1,1,Uttar Pradesh-Handia,Handia
