O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,KAILASH NATH,Bharatiya Janata Party,2261,2525,2063,3035,2867,2776,3077,3107,2825,2431,2918,2902,3544,2943,2381,2492,3220,3164,1591,2269,2099,1602,2550,1911,2485,2776,4229,2351,2413,2874,2425,3467,1329,Uttar Pradesh-Tulsipur,Tulsipur
2,DIPENDRA SINGH DIPANKAR,Indian National Congress,108,110,113,112,77,118,145,147,130,133,149,170,178,155,109,150,118,107,95,72,51,43,144,149,464,155,97,63,77,85,118,191,32,Uttar Pradesh-Tulsipur,Tulsipur
3,BHUWAN PRATAP SINGH,Bahujan Samaj Party,270,493,430,182,141,289,249,352,192,296,291,213,205,239,311,283,531,449,154,210,96,142,223,215,455,121,39,36,184,228,193,303,85,Uttar Pradesh-Tulsipur,Tulsipur
4,ABDUL MASHHOOD KHAN,Samajwadi Party,1598,1551,1268,794,1101,1350,1564,1221,2046,2292,1514,1386,1189,1115,1099,1737,1925,1008,715,1227,1170,1536,1071,1405,831,967,872,1332,1685,910,1480,948,558,Uttar Pradesh-Tulsipur,Tulsipur
5,ATMARAM,Bharatiya Subhash Sena,27,29,33,18,20,32,50,34,48,35,21,63,39,111,44,30,29,28,10,17,6,18,31,26,16,13,10,8,24,13,18,10,11,Uttar Pradesh-Tulsipur,Tulsipur
6,SURESH,Jan Adhikar Party,18,19,22,23,18,21,26,21,24,12,13,25,22,15,9,16,32,24,11,23,8,14,25,20,12,15,8,1,9,10,10,10,2,Uttar Pradesh-Tulsipur,Tulsipur
7,HIDAYTULLA,Aam Aadmi Party,22,35,23,17,24,32,28,29,30,12,21,18,27,21,17,25,23,43,60,43,15,16,31,32,20,14,4,7,17,13,17,15,10,Uttar Pradesh-Tulsipur,Tulsipur
8,ZEBA RIZWAN,Independent,799,1325,1616,1685,1554,1422,1917,1740,1532,733,828,1291,1922,1692,1059,1502,1016,1495,2558,1982,2100,2032,2156,2394,1575,1591,998,2080,1678,1581,1412,1408,538,Uttar Pradesh-Tulsipur,Tulsipur
9,DHEERAJ KUMAR,Independent,35,67,57,33,41,71,54,42,39,14,29,36,72,55,48,38,28,44,51,57,37,46,43,47,37,35,14,18,28,37,39,27,8,Uttar Pradesh-Tulsipur,Tulsipur
10,MUJEEBURRAHMAN,Independent,19,31,21,16,18,27,37,19,21,15,16,22,31,23,21,30,18,21,15,19,13,9,28,23,20,11,10,6,9,16,14,18,9,Uttar Pradesh-Tulsipur,Tulsipur
11,MOTEEN,Independent,40,43,30,27,28,37,37,28,28,11,20,27,27,19,26,28,27,23,19,20,11,7,24,24,29,12,8,1,16,13,16,13,11,Uttar Pradesh-Tulsipur,Tulsipur
12,MOHAMMAD AAMIR SHAH,Independent,17,17,11,16,18,18,18,19,23,12,12,19,15,10,11,16,16,13,15,9,9,4,10,9,18,5,1,3,5,7,5,7,1,Uttar Pradesh-Tulsipur,Tulsipur
13,RAKSHARAM,Independent,36,25,21,16,18,24,30,19,37,24,16,24,28,21,16,19,29,14,9,13,10,9,19,9,21,10,1,5,12,5,17,11,7,Uttar Pradesh-Tulsipur,Tulsipur
14,VIJAY PRATAP,Independent,24,30,39,21,25,35,35,35,32,14,22,34,19,19,28,25,21,24,16,21,6,15,16,17,27,17,6,9,11,12,18,22,5,Uttar Pradesh-Tulsipur,Tulsipur
15,SHUBHAM SINGH,Independent,32,32,23,26,27,36,24,23,29,19,17,24,18,26,12,16,18,15,18,18,4,5,15,18,28,12,7,3,13,15,10,15,6,Uttar Pradesh-Tulsipur,Tulsipur
16,NOTA,None of the Above,93,109,104,77,88,113,125,74,94,70,72,103,87,72,65,68,78,63,41,68,42,41,51,58,59,48,20,23,35,53,58,44,30,Uttar Pradesh-Tulsipur,Tulsipur
